,cpu_price,storage_price,intra_dc_bw_price,inter_region_bw_price,total_cost,task_count,data_size,task_size,response_time_slo,availability_slo,inter_region_bw_capacity,inter_region_bw_delay,intra_region_bw_capacity,intra_region_bw_delay,intra_dc_bw_capacity,intra_dc_bw_delay,provider_id
0,0.02,0.006,0.001,0.0015,0.0,7000.0,326.3167438268174,613.2843854452327,192.88137823925226,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
1,0.02,0.006,0.001,0.0015,0.0,3000.0,722.341842296865,517.0393419594355,192.81009226036812,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
2,0.02,0.006,0.001,0.0015,0.0,10000.0,953.9262389479795,365.7639897688469,191.88098468253068,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
3,0.02,0.006,0.001,0.0015,0.0,7000.0,435.77955575170324,929.3384470714299,162.251356539085,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
4,0.02,0.006,0.001,0.0015,0.0,2000.0,992.7219211838583,397.72113266742997,191.72683556708787,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
5,0.02,0.006,0.001,0.0015,0.0,10000.0,403.0898878908239,758.6831506737586,199.94205845044064,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
6,0.02,0.006,0.001,0.0015,0.0,7000.0,806.0421337174512,326.6356598452654,188.74135895235162,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
7,0.02,0.006,0.001,0.0015,0.0,2000.0,387.7765571092676,205.22678246916178,160.57933950119832,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
8,0.02,0.006,0.001,0.0015,0.0,10000.0,367.84626019106236,681.3130483773931,178.99571637965718,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
9,0.02,0.006,0.001,0.0015,0.0,10000.0,468.14004507654977,410.9352508704711,183.03923324415211,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
10,0.02,0.006,0.001,0.0015,0.0,5000.0,841.2024851219226,247.17188297550445,176.9470788756528,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
11,0.02,0.006,0.001,0.0015,0.0,10000.0,672.2604892422676,593.6891845896928,179.62725082437018,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
12,0.02,0.006,0.001,0.0015,0.0,10000.0,415.29765193176866,931.1153100609837,179.3490130528293,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
13,0.02,0.006,0.001,0.0015,0.0,3000.0,709.9100313939069,574.1946207966942,176.97362925761104,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
14,0.02,0.006,0.001,0.0015,0.0,5000.0,974.5751725166954,237.5679743921987,174.31349957107233,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
15,0.02,0.006,0.001,0.0015,0.0,7000.0,302.8551888698213,771.6993632176315,174.80081034839998,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
16,0.02,0.006,0.001,0.0015,0.0,3000.0,378.6079752174961,839.7774896911874,190.8724893994824,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
17,0.02,0.006,0.001,0.0015,0.0,3000.0,907.7186046285361,634.3493767796725,197.62418499212265,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
18,0.02,0.006,0.001,0.0015,0.0,2000.0,605.5930502954623,357.03488026500025,164.8800354534671,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
19,0.02,0.006,0.001,0.0015,0.0,2000.0,742.2064852087342,324.7812265310871,186.63829794516613,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
20,0.02,0.006,0.001,0.0015,0.0,2000.0,897.6849924397898,313.58581130230425,175.28235129652438,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
21,0.02,0.006,0.001,0.0015,0.0,2000.0,968.5261331708754,589.5001918304399,164.21154187749454,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
22,0.02,0.006,0.001,0.0015,0.0,7000.0,724.0309710971164,644.748757322496,188.08082894749006,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
23,0.02,0.006,0.001,0.0015,0.0,5000.0,729.4496310158702,632.5707226741083,164.63768328428696,0.95,500.0,150.0,1000.0,50.0,8000.0,10.0,1.0
